player_id,player,team,primary_position,matches,total_minutes,shots_p90,npxg_p90,touches_in_box_p90,key_passes_p90,pressures_p90,npga_p90,total_np_goals,total_assists,total_npga
6399.0,Gareth Frank Bale,Real Madrid,Right Wing,23,1771.0,4.116318464144551,0.4567755424167137,17.07509881422925,1.9819311123658951,10.062111801242237,1.4737436476566912,19.0,10.0,29.0
5246.0,Luis Alberto Suárez Díaz,Barcelona,Center Forward,35,3233.0,3.869471079492731,0.6606260577281163,32.59820600061862,1.2527064645839776,9.325703680791834,1.4475719146303743,37.0,15.0,52.0
19677.0,Karim Benzema,Real Madrid,Center Forward,27,2008.0,4.392430278884462,0.7804673957420318,23.306772908366536,1.4342629482071714,10.129482071713149,1.299800796812749,24.0,5.0,29.0
5503.0,Lionel Andrés Messi Cuccittini,Barcelona,Right Wing,33,2801.0,5.076758300606926,0.5070044110549803,18.893252409853623,1.8957515173152444,6.137093895037486,1.2209925026776152,23.0,15.0,38.0
3990.0,Jesé Rodríguez Ruiz,Real Madrid,Left Wing,28,893.0,2.116461366181411,0.32076971198768195,18.34266517357223,2.015677491601344,12.19484882418813,1.108622620380739,5.0,6.0,11.0
5207.0,Cristiano Ronaldo dos Santos Aveiro,Real Madrid,Left Wing,36,3274.0,6.26756261453879,0.6849490956817348,23.915699450213804,0.9346365302382407,4.700671960904093,1.0720830788026878,29.0,10.0,39.0
6677.0,Imanol Agirretxe Arruti,Real Sociedad,Center Forward,16,1197.0,3.3834586466165413,0.644013839924812,19.473684210526315,0.22556390977443608,11.804511278195488,0.9774436090225563,13.0,0.0,13.0
4320.0,Neymar da Silva Santos Junior,Barcelona,Left Wing,34,3129.0,3.537871524448706,0.4311061287296261,25.82933844678811,2.358581016299137,11.275167785234899,0.8916586768935763,19.0,12.0,31.0
6735.0,Adrián López Álvarez,Villarreal,Left Center Forward,16,808.0,0.8910891089108911,0.29334957883663365,12.80940594059406,1.448019801980198,13.811881188118813,0.8910891089108911,4.0,4.0,8.0
5487.0,Antoine Griezmann,Atlético Madrid,Right Center Forward,38,3112.0,2.660668380462725,0.4164867749903599,13.881748071979436,1.417095115681234,17.901670951156813,0.7519280205655527,21.0,5.0,26.0
6906.0,Jon Bautista Orgilles,Real Sociedad,Center Forward,4,122.0,2.9508196721311473,0.2161024863934426,16.9672131147541,1.4754098360655736,25.819672131147538,0.7377049180327868,1.0,0.0,1.0
6394.0,Aritz Aduriz Zubeldia,Athletic Club,Center Forward,34,2866.0,3.0146545708304258,0.46474064857745984,20.31751570132589,0.8164689462665736,9.829030006978368,0.7222609909281228,17.0,6.0,23.0
6862.0,Cédric Bakambu,Villarreal,Right Center Forward,34,1924.0,2.2920997920997923,0.4383997241164242,14.594594594594595,0.6081081081081081,17.775467775467778,0.7016632016632017,12.0,3.0,15.0
5200.0,Lucas Vázquez Iglesias,Real Madrid,Right Wing,25,1294.0,1.669242658423493,0.17101997492272025,14.049459041731065,1.5996908809891808,20.309119010819163,0.6955177743431221,4.0,6.0,10.0
5186.0,Denis Cheryshev,Valencia,Left Wing,9,528.0,2.3863636363636367,0.21145892232954547,10.056818181818182,0.5113636363636364,20.625,0.6818181818181819,3.0,1.0,4.0
26685.0,Nicolás Ladislao Fedor Flores,Rayo Vallecano,Center Forward,22,1590.0,2.3773584905660377,0.5690179245283018,18.62264150943396,1.2452830188679245,19.92452830188679,0.6792452830188679,9.0,3.0,12.0
6382.0,Fernando José Torres Sanz,Atlético Madrid,Left Center Forward,30,1751.0,2.9297544260422614,0.4028740722729868,18.555111364934323,0.7195888063963449,15.00856653340948,0.6681896059394632,11.0,2.0,13.0
6732.0,Lucas Pérez Martínez,RC Deportivo La Coruña,Center Forward,36,3233.0,2.7281163006495515,0.41208078737797704,15.14382926074853,1.6702752861119703,15.310856789359727,0.6402721930095886,16.0,7.0,23.0
6724.0,Manuel Agudo Durán,Celta Vigo,Left Wing,29,2549.0,2.8599450765005883,0.25430012798744606,14.51157316594743,1.9066300510003922,13.558258140447235,0.6355433503334641,11.0,7.0,18.0
6401.0,Kevin Gameiro,Sevilla,Center Forward,31,2152.0,3.052973977695167,0.5177326130715613,24.67472118959108,0.8782527881040892,13.717472118959108,0.6273234200743494,12.0,3.0,15.0
6566.0,Borja González Tomás,Eibar,Center Forward,36,2642.0,3.2021196063588193,0.49469731359765334,18.66767600302801,0.5450416351249054,18.76987130961393,0.6131718395155186,15.0,3.0,18.0
6393.0,Iñaki Williams Arthuer,Athletic Club,Right Wing,25,1643.0,2.4650030432136334,0.19079715713937917,14.023128423615336,0.5477784540474742,15.721241631162506,0.6025562994522216,8.0,3.0,11.0
5217.0,Iago Aspas Juncal,Celta Vigo,Center Forward,35,2717.0,2.716231137283769,0.4093033876065513,20.736105999263895,1.3581155686418844,14.64114832535885,0.5962458594037541,13.0,5.0,18.0
6725.0,Zakaria Bakkali,Valencia,Left Wing,16,608.0,1.924342105263158,0.08589781006578946,8.585526315789474,1.332236842105263,14.802631578947368,0.5921052631578947,1.0,3.0,4.0
24173.0,Carlos Castro García,Sporting Gijón,Center Forward,25,1071.0,2.100840336134454,0.45043147268907563,12.26890756302521,0.3361344537815126,11.680672268907562,0.5882352941176471,7.0,0.0,7.0
26009.0,Roberto Soldado Rillo,Villarreal,Left Center Forward,28,2303.0,1.6022579244463744,0.19342695653929656,14.498480243161094,0.7034303082935301,13.834129396439428,0.5861919235779418,5.0,10.0,15.0
6700.0,Sergio Enrich Ametller,Eibar,Right Center Forward,38,2498.0,1.5852682145716572,0.26754360200560445,19.023218574859886,0.7566052842273819,20.644515612489993,0.5764611689351481,9.0,7.0,16.0
6402.0,Francisco Alcácer García,Valencia,Center Forward,34,2504.0,2.2643769968051117,0.3873352709904153,15.167731629392971,0.8626198083067093,13.981629392971247,0.5750798722044729,11.0,5.0,16.0
26783.0,Roque Luis Santa Cruz Cantero,Málaga,Left Center Forward,17,483.0,0.9316770186335405,0.15707369888198758,13.7888198757764,1.1180124223602486,11.925465838509318,0.5590062111801243,2.0,1.0,3.0
