match_id,player_id,minutes,shots,xg,goals,np_goals,npxg,touches_in_box,key_passes,assists,pressures,player,team,primary_position,np_goals_assists
3878547,7011,96,7,0.74228715,1,1,0.74228715,31,1,0,24,Fabio Quagliarella,Torino,Right Center Forward,1
3878547,8193,60,2,0.624514476,0,0,0.624514476,11,1,0,11,Maximiliano Gastón López,Torino,Right Center Forward,0
3878547,11672,83,1,0.035335574,0,0,0.035335574,8,1,0,21,Samuele Longo,Frosinone,Right Center Forward,0
3878547,12619,36,2,0.11989559000000001,0,0,0.11989559000000001,2,2,0,3,Josef Alexander Martínez Mencia,Torino,Left Center Forward,0
3878547,24235,96,2,0.073065456,0,0,0.073065456,11,0,0,19,Federico Dionisi,Frosinone,Left Center Forward,0
3878548,3486,18,0,0.0,0,0,0.0,8,0,0,0,Fernando Llorente Torres,Juventus,Right Center Forward,0
3878548,5472,96,4,1.044310315,0,0,1.044310315,41,2,0,13,Mario Mandžukić,Juventus,Left Center Forward,0
3878548,5743,33,0,0.0,0,0,0.0,19,1,0,6,Paulo Bruno Exequiel Dybala,Juventus,Right Center Forward,0
3878548,7017,31,2,0.08133153500000001,0,0,0.08133153500000001,4,0,0,3,Duván Esteban Zapata Banguera,Udinese,Right Center Forward,0
3878548,8217,63,3,0.16280274099999997,0,0,0.16280274099999997,11,2,0,10,Kingsley Coman,Juventus,Left Center Forward,0
3878548,8272,96,1,0.2431247,1,1,0.2431247,5,1,0,14,Cyril Théréau,Udinese,Left Center Forward,1
3878548,19846,65,0,0.0,0,0,0.0,2,1,0,9,Antonio Di Natale,Udinese,Right Center Forward,0
3878549,6950,93,3,0.29422153,1,1,0.29422153,22,0,1,16,Alberto Paloschi,Chievo,Right Center Forward,2
3878549,7054,93,0,0.0,0,0,0.0,20,1,0,22,Manuel Pucciarelli,Empoli,Right Center Forward,0
3878549,11643,48,2,0.21037942,1,1,0.21037942,10,0,1,21,Riccardo Meggiorini,Chievo,Right Center Forward,2
3878549,18028,31,2,0.0261388417,0,0,0.0261388417,11,0,0,9,Levan Mchedlidze,Empoli,Left Center Forward,0
3878549,40252,62,4,0.195749651,0,0,0.195749651,19,1,0,5,Massimo Maccarone,Empoli,Left Center Forward,0
3878550,6859,79,1,0.049429372,0,0,0.049429372,19,1,0,22,Nicola Sansone,Sassuolo,Left Wing,0
3878550,7109,61,3,0.142845436,0,0,0.142845436,5,1,0,22,Matteo Politano,Sassuolo,Right Wing,0
3878550,7457,73,1,0.025307957,0,0,0.025307957,11,0,0,16,Gregoire Defrel,Sassuolo,Center Forward,0
3878550,8093,21,0,0.0,0,0,0.0,0,0,0,7,Diego Falcinelli,Sassuolo,Center Forward,0
3878550,8103,69,1,0.027121725,0,0,0.027121725,9,0,0,15,Mattia Destro,Bologna,Center Forward,0
3878550,15415,25,0,0.0,0,0,0.0,3,0,0,3,Matteo Mancosu,Bologna,Center Forward,0
3878550,27110,33,2,0.358911234,1,1,0.358911234,4,0,0,8,Antonio Floro Flores,Sassuolo,Left Wing,1
3878550,30770,94,1,0.016801653,0,0,0.016801653,5,2,0,8,Filippo Falco,Bologna,Right Wing,0
3878551,5688,93,2,0.502532136,1,1,0.502532136,16,0,0,17,Carlos Arturo Bacca Ahumada,AC Milan,Left Center Forward,1
3878551,7022,54,2,0.056421312,0,0,0.056421312,1,0,0,30,Jesús Joaquín Fernández Sáez de la Torre,AC Milan,Right Wing,0
3878551,7054,93,4,0.40293550499999997,0,0,0.40293550499999997,30,1,0,18,Manuel Pucciarelli,Empoli,Right Center Forward,0
3878551,18028,32,0,0.0,0,0,0.0,7,1,0,7,Levan Mchedlidze,Empoli,Left Center Forward,0
3878551,21272,93,2,0.258340496,1,1,0.258340496,15,0,1,23,Luiz Adriano de Souza da Silva,AC Milan,Right Center Forward,2
3878551,40252,61,2,0.044790678,0,0,0.044790678,12,3,1,9,Massimo Maccarone,Empoli,Left Center Forward,1
