player,team,position,minutes,score,probability,decision,npga_p90,shots_p90,npxg_p90,touches_in_box_p90,key_passes_p90,pressures_p90
Sofiane Feghouli,Valencia,Right Wing,1318.0,0.4786,0.2205,not recommended,0.1366,1.6388,0.1827,10.2428,1.912,12.5645
Stefan Šćepović,Getafe,Center Forward,1902.0,0.4714,0.2174,not recommended,0.3312,1.4196,0.2515,12.0662,0.9464,9.7003
Sabin Merino Zuloaga,Athletic Club,Left Wing,1168.0,0.4643,0.2164,not recommended,0.3853,2.0805,0.3033,12.9452,0.7705,14.7945
Iker Muniain Goñi,Athletic Club,Left Wing,1051.0,0.4571,0.2147,not recommended,0.1713,1.9696,0.2496,7.3644,1.4558,12.1598
Gerard Moreno Balaguero,Espanyol,Center Forward,1983.0,0.45,0.2069,not recommended,0.4085,2.4508,0.2983,18.3812,0.59,15.885
Fabián Ariel Orellana Valenzuela,Celta Vigo,Right Wing,3103.0,0.4429,0.2041,not recommended,0.3771,2.2333,0.2325,11.9207,1.3052,10.8476
José Antonio Reyes Calderón,Sevilla,Right Wing,1220.0,0.4357,0.2028,not recommended,0.1475,1.6967,0.1735,11.0656,2.2869,22.7213
Sergio Enrich Ametller,Eibar,Right Center Forward,2498.0,0.4286,0.1947,not recommended,0.5765,1.5853,0.2675,19.0232,0.7566,20.6445
Jorge Molina Vidal,Real Betis,Right Center Forward,963.0,0.4214,0.1756,not recommended,0.1869,1.215,0.2386,13.6449,0.7477,12.0561
Felipe Salvador Caicedo Corozo,Espanyol,Center Forward,2189.0,0.4143,0.1726,not recommended,0.3289,1.7268,0.2731,13.3212,0.5756,12.9511
Youssef El-Arabi,Granada,Center Forward,2604.0,0.4071,0.1694,not recommended,0.3456,2.4885,0.2851,15.4147,0.7258,18.076
Saúl Berjón Pérez,Eibar,Left Wing,1450.0,0.4,0.1673,not recommended,0.3103,2.1103,0.1505,8.6276,2.1103,13.5931
Luciano Vietto,Atlético Madrid,Right Center Forward,984.0,0.3929,0.1619,not recommended,0.3659,2.2866,0.2568,17.1951,0.8232,18.8415
Yevhen Konoplyanka,Sevilla,Left Wing,1692.0,0.3857,0.1498,not recommended,0.3723,2.7128,0.1529,10.4255,1.8617,10.4255
Jorge Franco Alviz,Espanyol,Left Wing,1044.0,0.3786,0.1487,not recommended,0.3448,2.5862,0.1957,12.069,1.3793,11.9828
