player,team,primary_position,total_minutes,probability,decision,npga_p90,shots_p90,npxg_p90,touches_in_box_p90,key_passes_p90,pressures_p90
Rubén Castro Martín,Real Betis,Center Forward,3481.0,0.3014,review,0.5171,2.663,0.3486,13.3927,0.6722,6.2051
Manuel Agudo Durán,Celta Vigo,Left Wing,2549.0,0.2994,review,0.6355,2.8599,0.2543,14.5116,1.9066,13.5583
Sergio Ezequiel Araújo,Las Palmas,Center Forward,1893.0,0.2958,review,0.3803,2.9002,0.3286,15.309,0.7607,13.3122
Stefan Šćepović,Getafe,Center Forward,1902.0,0.2835,review,0.3312,1.4196,0.2515,12.0662,0.9464,9.7003
Oriol Riera Magem,RC Deportivo La Coruña,Right Center Forward,853.0,0.2745,review,0.211,2.5322,0.2978,17.6202,0.8441,18.0422
Iker Muniain Goñi,Athletic Club,Left Wing,1051.0,0.27,review,0.1713,1.9696,0.2496,7.3644,1.4558,12.1598
Fabián Ariel Orellana Valenzuela,Celta Vigo,Right Wing,3103.0,0.2689,review,0.3771,2.2333,0.2325,11.9207,1.3052,10.8476
Willian José da Silva,Las Palmas,Center Forward,1809.0,0.2611,review,0.4975,2.6866,0.2928,13.9801,0.995,12.9851
Charles Días Barbosa de Oliveira,Málaga,Left Center Forward,3092.0,0.2573,review,0.4075,2.5032,0.2925,18.1339,0.9023,12.0796
Rodrigo Javier De Paul,Valencia,Left Wing,536.0,0.2569,review,0.0,1.6791,0.0878,5.3731,3.0224,23.8433
Saúl Berjón Pérez,Eibar,Left Wing,1450.0,0.2466,not recommended,0.3103,2.1103,0.1505,8.6276,2.1103,13.5931
Duje Čop,Málaga,Right Center Forward,2074.0,0.2366,not recommended,0.3905,2.1263,0.3315,13.4957,0.6509,17.0974
Pablo Sarabia García,Getafe,Right Wing,2592.0,0.2248,not recommended,0.4514,2.2569,0.149,10.2778,2.2569,21.875
David Barral Torres,Granada,Center Forward,475.0,0.2196,not recommended,0.0,3.2211,0.3763,16.8632,0.3789,15.9158
Deyverson Brum Silva Acosta,Levante UD,Right Center Forward,2232.0,0.2152,not recommended,0.4032,2.9032,0.3359,17.3387,0.8065,19.1935
Yevhen Konoplyanka,Sevilla,Left Wing,1692.0,0.2134,not recommended,0.3723,2.7128,0.1529,10.4255,1.8617,10.4255
Rodrigo Moreno Machado,Valencia,Right Wing,1430.0,0.2133,not recommended,0.3147,2.3916,0.2751,15.1678,1.1329,15.6084
Gerard Moreno Balaguero,Espanyol,Center Forward,1983.0,0.204,not recommended,0.4085,2.4508,0.2983,18.3812,0.59,15.885
Jorge Molina Vidal,Real Betis,Right Center Forward,963.0,0.1947,not recommended,0.1869,1.215,0.2386,13.6449,0.7477,12.0561
Felipe Salvador Caicedo Corozo,Espanyol,Center Forward,2189.0,0.1873,not recommended,0.3289,1.7268,0.2731,13.3212,0.5756,12.9511
Sabin Merino Zuloaga,Athletic Club,Left Wing,1168.0,0.1854,not recommended,0.3853,2.0805,0.3033,12.9452,0.7705,14.7945
Youssef El-Arabi,Granada,Center Forward,2604.0,0.1849,not recommended,0.3456,2.4885,0.2851,15.4147,0.7258,18.076
Jonathan Viera Ramos,Las Palmas,Left Wing,3196.0,0.1836,not recommended,0.4224,2.4781,0.1688,8.0538,1.8304,18.4168
Sergio Enrich Ametller,Eibar,Right Center Forward,2498.0,0.1656,not recommended,0.5765,1.5853,0.2675,19.0232,0.7566,20.6445
Adrián López Álvarez,Villarreal,Left Center Forward,808.0,0.1629,not recommended,0.8911,0.8911,0.2933,12.8094,1.448,13.8119
Luciano Vietto,Atlético Madrid,Right Center Forward,984.0,0.1488,not recommended,0.3659,2.2866,0.2568,17.1951,0.8232,18.8415
Federico Nicolás Cartabia,RC Deportivo La Coruña,Right Wing,1390.0,0.1448,not recommended,0.3885,3.3669,0.1411,6.8633,1.295,24.2158
Roger Martí Salvador,Levante UD,Left Center Forward,684.0,0.1445,not recommended,0.0,2.7632,0.2481,16.3158,0.7895,20.0
Víctor Machín Pérez,Sevilla,Right Wing,2152.0,0.1306,not recommended,0.2509,1.0037,0.1361,13.4665,1.3801,20.6599
Markel Susaeta Laskurain,Athletic Club,Right Wing,1956.0,0.1255,not recommended,0.5061,1.1503,0.1032,9.8926,1.7485,21.9018
Jorge Franco Alviz,Espanyol,Left Wing,1044.0,0.1233,not recommended,0.3448,2.5862,0.1957,12.069,1.3793,11.9828
Lucas Vázquez Iglesias,Real Madrid,Right Wing,1294.0,0.1199,not recommended,0.6955,1.6692,0.171,14.0495,1.5997,20.3091
Armindo Tué Na Bangna,Real Sociedad,Left Wing,1520.0,0.1194,not recommended,0.1776,2.8421,0.2083,14.5658,1.3026,16.6974
Adrián Embarba Blázquez,Rayo Vallecano,Right Wing,1889.0,0.1163,not recommended,0.2859,1.9058,0.1657,9.2906,1.1435,16.8184
José Antonio Reyes Calderón,Sevilla,Right Wing,1220.0,0.1145,not recommended,0.1475,1.6967,0.1735,11.0656,2.2869,22.7213
Jonathan Javier Rodríguez Portillo,RC Deportivo La Coruña,Center Forward,592.0,0.1053,not recommended,0.0,2.8885,0.2682,17.4831,0.4561,16.1149
Michael Krohn-Dehli,Sevilla,Left Wing,1736.0,0.0981,not recommended,0.2074,1.2961,0.165,6.8433,1.6071,13.8422
Leonardo Carrilho Baptistão,Villarreal,Right Center Forward,1325.0,0.0959,not recommended,0.2717,2.1736,0.2166,15.2151,0.4755,19.0189
Carlos Carmona Bonet,Sporting Gijón,Right Wing,1235.0,0.0888,not recommended,0.3644,1.0931,0.1898,9.2551,1.3846,27.1093
Ricky van Wolfswinkel,Real Betis,Right Center Forward,755.0,0.0821,not recommended,0.3576,1.7881,0.2517,11.3245,0.4768,14.3046
Théo Bongonda Mbul''Ofeko Batombo,Celta Vigo,Left Wing,1231.0,0.0761,not recommended,0.2193,1.3891,0.1706,8.2616,0.7311,10.3818
Isaac Ajayi Success,Granada,Right Wing,2505.0,0.0741,not recommended,0.2874,2.0479,0.2084,12.0359,0.8263,11.9281
Ángel Lafita Castillo,Getafe,Left Wing,1031.0,0.0731,not recommended,0.4365,2.4442,0.1793,9.515,0.6111,17.4588
Nordin Amrabat,Málaga,Right Center Forward,1033.0,0.0697,not recommended,0.0871,2.4395,0.1367,14.7241,1.3069,15.1597
Miguel Ángel Guerrero Martín,Sporting Gijón,Center Forward,1122.0,0.0686,not recommended,0.2406,1.7647,0.1984,14.5187,0.9626,23.5829
José Ignacio Peleteiro Ramallo,Eibar,Right Wing,724.0,0.0656,not recommended,0.0,1.7403,0.1145,8.0801,1.7403,19.0193
Claudio Beauvue,Celta Vigo,Right Wing,526.0,0.0643,not recommended,0.1711,1.8821,0.1856,11.635,0.8555,14.7148
Pablo Daniel Piatti,Valencia,Left Wing,827.0,0.0624,not recommended,0.0,1.1971,0.1434,10.9915,1.4148,28.0774
Nabil Ghilas,Levante UD,Right Center Forward,1059.0,0.0606,not recommended,0.085,1.7847,0.1434,13.8527,0.7649,14.2776
Víctor Casadesús Castaño,Levante UD,Right Center Forward,1013.0,0.0579,not recommended,0.3554,1.0661,0.1051,7.463,0.9773,11.3722
Roberto Soldado Rillo,Villarreal,Left Center Forward,2303.0,0.0571,not recommended,0.5862,1.6023,0.1934,14.4985,0.7034,13.8341
Iñaki Williams Arthuer,Athletic Club,Right Wing,1643.0,0.0549,not recommended,0.6026,2.465,0.1908,14.0231,0.5478,15.7212
Takashi Inui,Eibar,Left Wing,1670.0,0.0543,not recommended,0.3234,1.9401,0.1462,10.4551,1.0778,17.7844
Pedro León Sánchez Gil,Getafe,Right Wing,1879.0,0.054,not recommended,0.2874,2.1075,0.128,9.0527,1.4369,17.5785
